Run,Event,dimuon_mass_GeV,dimuon_pt_GeV,leading_muon_pt_GeV,subleading_muon_pt_GeV,Q1,Q2,Type1,Type2,opposite_sign,both_global
146511,55942477,2.81123,9.336206291777673,8.10694,1.63314,-1,1,G,T,True,False
146511,56111930,3.16138,8.611114660466438,4.6082,4.00292,1,-1,G,G,True,True
146511,56254402,3.37675,14.403095541259491,13.7642,0.977656,-1,1,G,T,True,False
146511,110364128,3.16177,9.462828184876866,4.89019,4.7345,1,-1,G,G,True,True
146511,110382059,2.98184,12.018317298310983,7.11126,4.92973,1,-1,G,G,True,True
146511,111244897,3.43082,5.686523389670001,3.64129,2.80526,-1,1,G,T,True,False
146511,111436377,3.12787,6.37620785827208,4.89203,2.18262,1,-1,G,G,True,True
146511,112076443,3.0888,8.993870302878511,4.82251,4.46276,-1,1,G,G,True,True
146511,112289345,3.11128,8.723243270303769,6.16655,3.03868,1,-1,G,G,True,True
146511,113228970,2.61545,8.053545610756668,7.02494,1.41595,1,-1,G,T,True,False
146511,113588897,3.07264,17.00219586148213,11.4481,5.81923,1,-1,G,G,True,True
146511,113668663,3.09517,9.67447590883351,5.29694,4.74186,1,-1,G,G,True,True
146511,113888483,3.47166,12.532060083543014,11.7739,1.00792,1,-1,G,T,True,False
146511,114813861,3.09785,6.9310026621333805,4.28248,3.02081,-1,1,G,G,True,True
146511,114906283,3.10868,10.07961619899647,5.51717,5.00818,1,-1,G,G,True,True
146511,115008584,3.08456,14.328355229837094,7.27637,7.24115,1,-1,G,G,True,True
146511,115064870,2.84888,2.361453238288872,2.03781,1.29741,1,-1,G,T,True,False
146511,115686847,3.18571,12.396115820164194,11.2818,1.14071,1,-1,G,T,True,False
146511,115798572,3.15425,7.703048197278789,4.87674,3.23393,1,-1,G,G,True,True
146511,116073009,3.15348,5.989014894864263,5.11627,0.906704,-1,1,G,T,True,False
146511,116514249,3.10933,7.737629568827911,4.22494,3.87002,-1,1,G,G,True,True
146511,117075107,2.61981,12.101297354271567,8.01022,4.34314,1,-1,G,G,True,True
146511,118157006,3.06243,7.30096029306618,4.71152,3.16903,-1,1,G,G,True,True
